unique_id,repo,key,scope,complexity,Backport Commit,date,message
druid_18144_34.0.0,druid,18144_34.0.0,S3,C5,4df50860cd4cfedf5f5ecde544d2cb804c3902a4,2025-07-25 05:16:36+00:00,[Backport] MSQ: Fix excessive retention of writable stage output channels. (#18322) (#18325)
druid_18235_34.0.0,druid,18235_34.0.0,S3,C5,948551474bf1c9b66742745e0a0066993479d392,2025-07-21 00:38:51+00:00,[Backport] Push down datasource to realtime tasks (#18295)
druid_18274_34.0.0,druid,18274_34.0.0,S3,C3,7c1b3f1d3a2ee924440c6c88727d5a5ac6eb18e4,2025-07-20 13:51:10+00:00,[Backport] Address NPE in CloneHistoricals duty (#18293)
druid_18254_34.0.0,druid,18254_34.0.0,S3,C1,e0739e46093a08227efe460ee994cf5090815184,2025-07-19 23:24:54+00:00,Fixing deadlock in MSQ worker retry logic. (#18254) (#18294)
druid_18241_34.0.0,druid,18241_34.0.0,S3,C5,cd89f7062f0c7a8d2a425edbae75acab4306ac32,2025-07-18 01:00:12+00:00,Dart: Async queries to realtime servers. (#18241) (#18278)
druid_18220_34.0.0,druid,18220_34.0.0,S3,C1,b3f6a23eb6015009e2bb763a739f24cabd9807f0,2025-07-16 18:53:58+00:00,MSQ: Fix composing channels losing partitionless frames. (#18220) (#18267)
druid_17369_31.0.0,druid,17369_31.0.0,S3,C5,3ba7badda390977805600942d71016b5af12751b,2024-10-18 04:47:07+00:00,"Backport ""Fixes an issue with AppendableMemory that can cause MSQ jobs to fail"" (#17369) (#17372)"
druid_17319_31.0.0,druid,17319_31.0.0,S3,C5,06c1a6a31eaa2339a8507658ea1baf378da48e4a,2024-10-10 11:15:34+00:00,"[Backport] Dart backports for (#17312) , (#17313) , (#17319) (#17322)"
druid_17277_31.0.0,druid,17277_31.0.0,S3,C5,ccb7c2edd959a26d7f96528a2779b80051815ac1,2024-10-08 14:16:40+00:00,[Backport] Dart and security backports (#17249) (#17278) (#17281) (#17282) (#17283) (#17277) (#17285)
druid_17069_31.0.0,druid,17069_31.0.0,S3,C5,f27a1dc651d0ee607337ac6f0483643b32ace66a,2024-10-05 11:59:34+00:00,[Backport] Dart: Smoother handling of stage early exit (#17228) (#17069) (#17256)
druid_17074_31.0.0,druid,17074_31.0.0,S3,C5,b275ffed8d6138b4312b7fe2dc42980db5218f6a,2024-10-04 06:06:05+00:00,[Backport] Changes required for Dart (#17046) (#17047) (#17048) (#17066) (#17074) (#17076) (#17077) (#17193) (#17243)
druid_17021_31.0.0,druid,17021_31.0.0,S3,C3,491087fbe305ee9e057ca6b8eef09e7f33bd986c,2024-10-02 09:04:27+00:00,Modify DataSegmentProvider to also return DataSegment (#17021) (#17217)
druid_17094_31.0.0,druid,17094_31.0.0,S3,C3,4a8008aebb7b3f324325feabd1b5a11a07e76022,2024-10-02 02:14:33+00:00,Use the whole frame when writing rows. (#17094) (#17195)
druid_17057_31.0.0,druid,17057_31.0.0,S3,C3,23b9039a02756c069b2274f10e050e0c8ad2c58c,2024-10-01 14:20:24+00:00,MSQ: Rework memory management. (#17057) (#17210)
druid_17058_31.0.0,druid,17058_31.0.0,S3,C1,9b192bd5a2b1911472d2f0328e87adfaba75da3e,2024-10-01 10:03:16+00:00,add CursorHolder.isPreAggregated method to allow cursors on pre-aggregated data (#17058) (#17205)
druid_17027_31.0.0,druid,17027_31.0.0,S3,C3,ef7c461722fa89875c7657ed4c835470a20caf06,2024-10-01 05:39:52+00:00,Add support for selective loading of broadcast datasources in the task layer (#17027) (#17206)
druid_17088_31.0.0,druid,17088_31.0.0,S3,C1,f4ad5d001b49cead0c9d4e93b36df123946ae632,2024-09-30 14:17:10+00:00,FrameChannelMerger: Fix incorrect behavior of finished(). (#17088) (#17194)
druid_17033_31.0.0,druid,17033_31.0.0,S3,C1,d06327ab249d4136332fe8ca0e4fa7b47e39d7f3,2024-09-25 03:59:00+00:00,[Backport] Allow MSQ engine only for compaction supervisors (#17033) (#17143)
druid_17124_31.0.0,druid,17124_31.0.0,S3,C3,0ae9988796de026793008ca9368a4c22d75747f2,2024-09-24 19:09:27+00:00,Support Iceberg ingestion from REST based catalogs (#17124) (#17145)
druid_16800_31.0.0,druid,16800_31.0.0,S3,C3,2f13cd2500d1f35e131443634d6ef26281d1e714,2024-09-19 14:01:17+00:00,Support maxSubqueryBytes for window functions (#16800) (#17085)
druid_16885_31.0.0,druid,16885_31.0.0,S3,C1,11727af2a6c464b57047b1a97ff5053daa6fb0dd,2024-09-19 03:32:12+00:00,Fix String Frame Readers to read String Arrays correctly (#16885) (#17103)
druid_16985_31.0.0,druid,16985_31.0.0,S3,C1,c462e103b6e837954633b5d12ca49ea917dd2835,2024-09-10 04:43:41+00:00,transition away from StorageAdapter (#16985) (#17024)
druid_16322_30.0.0,druid,16322_30.0.0,S3,C3,463fb3e647095131ca0f0368b3a13609581c6a14,2024-05-13 16:46:25+00:00,[Backport] Support sorting on complex columns in MSQ (#16437)
druid_16372_30.0.0,druid,16372_30.0.0,S3,C1,305abae8b198cd10f8f718d6da053348e3e5ac89,2024-05-10 09:45:38+00:00,Fix another deadlock which can occur while acquiring merge buffers (#16372) (#16427)
druid_16328_30.0.0,druid,16328_30.0.0,S3,C1,f0a68a9010d409eafb04063d35b47cc39ec134b4,2024-05-07 11:39:28+00:00,[Backport] Add support for selective loading of lookups in the task layer (#16328) (#16394)
druid_16230_30.0.0,druid,16230_30.0.0,S3,C3,358b06e292c572a3d1e1db74a4218018f464f34a,2024-05-07 05:45:09+00:00,Improve code flow in the First/Last vector aggregators and unify the numeric aggregators with the String implementations  (#16230) (#16396)
druid_16368_30.0.0,druid,16368_30.0.0,S3,C5,6b29f7d1952345d873fa96edfd2fcfa8777abb5e,2024-05-06 05:15:19+00:00,[Backport] 15705 & 16368 to Druid 30  (#16384)
druid_16334_30.0.0,druid,16334_30.0.0,S3,C1,d6858771d1acb63c5fb39a3a6bcd62b03461dc15,2024-05-03 15:58:47+00:00,Add config lagAggregate to LagBasedAutoScalerConfig  (#16334) (#16377)
druid_16288_30.0.0,druid,16288_30.0.0,S3,C3,9592d5414ab777bbdb4206f6e344f7895cc5285f,2024-05-03 04:32:29+00:00,Support for filters in the Druid Delta Lake connector (#16288) (#16378)
druid_16096_29.0.1,druid,16096_29.0.1,S3,C3,e1dc60f21d7d9ec502c1f256ac27b5e6abd92792,2024-03-19 12:16:42+00:00,Fix incorrect header names for certain export queries (#16096) (#16167)
druid_15694_29.0.1,druid,15694_29.0.1,S3,C5,51c8f65f05f1ef6fad46ba1bc1e2d905cb456595,2024-03-12 05:31:52+00:00,[Backport] Only use ExprEval in ConstantExpr if its known that it will be safe (#15694) (#16100)
druid_15999_29.0.1,druid,15999_29.0.1,S3,C3,2b9ee7fc71432e5be9b8d6b738cc55886cb9b3d4,2024-03-08 09:54:56+00:00,Rows.objectToNumber: Accept decimals with output type LONG. (#15999) (#16062)
druid_15738_29.0.0,druid,15738_29.0.0,S3,C1,f283849821d0ffde5dfe6a64a7400f0191ef5989,2024-02-08 16:17:41+00:00,Extend unused segment metadata api response to include created date and last used updated time (#15738) (#15867)
druid_15753_29.0.0,druid,15753_29.0.0,S3,C3,8cfaaac2c05ad10b2a520e6991e9178484406b61,2024-02-07 12:38:33+00:00,pac4j: fix incompatible dependencies + authorization regression (#15753) (#15851)
druid_15697_29.0.0,druid,15697_29.0.0,S3,C3,de0569bb49f87b916e3f793cda13826eb041e750,2024-01-30 16:00:39+00:00,IncrementalIndex#add is no longer thread-safe. (#15697) (#15793)
druid_15049_29.0.0,druid,15049_29.0.0,S3,C5,a472639f876e1de547af0319267009db821ec7e4,2024-01-29 15:35:37+00:00,[Backport] Add DDSketch-Druid extension (#15750)
druid_15365_29.0.0,druid,15365_29.0.0,S3,C1,bb56851dd7c629bd4fad29d8fcace8a304eee379,2024-01-17 15:50:06+00:00,Range support in window expressions (support them as groups) (#15365) (#15703)
