original_commit,original_branch,Backport Commit,backport_branch
9b21a9716cc8421ea4902216b96c87f85211201c,master,bd916bd89e739504f63debb4d155a709f3b0569b,release-1.19
9b21a9716cc8421ea4902216b96c87f85211201c,master,a8dac03c829d877cbfd448d6b4add39283105452,release-2.0
9b21a9716cc8421ea4902216b96c87f85211201c,master,9f6cff3a78f71b5422178e970dae758ce03868ee,release-2.1
77b21e1c03377a7ed8f4db8b728e8b6fbcafa8ad,master,acb998e94a8624c912e32ba902fac1cda88d186c,release-2.1
1e0045ad1497cd4cd9a9098c225ca2280ccc144f,master,fefb74162c6bbaae89f35439f3a42c3e92b4b462,release-2.2
2cf845b6da054df856039123bcf1b7402db760fa,master,08e7b3bd088bdab68b90dbb108c7fe2052442a05,release-2.0
1e0c54ca7dc60ce2462e052c6d122791848297d0,master,2910d729f39d8e706900102707f8850d3a71f112,release-2.2
2cf845b6da054df856039123bcf1b7402db760fa,master,45ab6c816465e717d0eef2ad6672cbb0c1a73a7e,release-2.1
31b44d2c05017d2d2833adfcdf20b998834d662f,master,173edf679c16e25fd7864b720f5a19fd1d88db38,release-2.1
335621e598c86bbc5e9d782e95869aaf8960e914,master,4ee1a82388c42a294c795257013dd99e53c0b110,release-1.19
335621e598c86bbc5e9d782e95869aaf8960e914,master,7025a3f1ec19b8ca9b537d2dce1805a2624c5953,release-2.1
335621e598c86bbc5e9d782e95869aaf8960e914,master,70004f1fcbba95ac8e63bebe89b5d80f44e16274,release-2.0
335621e598c86bbc5e9d782e95869aaf8960e914,master,691b8f9b8a182eeb29fb1306afb350d4b5995e31,release-1.20
75355decc3fe2684ae4f366cf782a5fcb4bf2b97,master,4703d9ef1b371ed17bfd700a5734bf24ed931748,release-2.1
03530b6085deb016a61111dbca9b92825cc6cf7a,master,00b570847019bf67ae9f13e5b21644f4ffec3fe5,release-2.1
986ab8660f7b5877b316bbea5fa857bce348580b,master,0560ae6fdcd3534fc99a5ca4ec718ae752febdb0,release-2.0
89d9f14c982a14ebd427ab2791c6192bb5ad4659,master,0d7cbc1fc6e5abd1d07e9164694cd045ec71a7a6,release-1.19
a4aa0acf9c45d7e907fc9d9b96fe932f2d7dffc7,release-2.0,d0d63d38e5a02ea63d44db08dc0226efa5376e03,release-1.20
89d9f14c982a14ebd427ab2791c6192bb5ad4659,master,a4aa0acf9c45d7e907fc9d9b96fe932f2d7dffc7,release-2.0
93025452714570a4d461519510375dd72af3a2c0,master,044ad25150143bdaf6e8070ccbb5f655ad0564fd,release-1.20
93025452714570a4d461519510375dd72af3a2c0,master,645a0734b33b159a6169cb12c49194aefb9b017f,release-2.0
bd82cb462aa39136c31b6e4654d55593923346a7,master,0898eb5825503ca28033cc3adfde39beb9333a8c,release-2.0
1adcf1e47a7e6ae9908736c3969e2d279a44bc18,master,e9c9c40220ce4955e15922021a30695e03239caf,release-1.20
ced02ce25a208a1154aa114439cda508637a47d7,master,75e2bbaa2222546455afd65562f50dd1545303d3,release-1.20
504c866b347764b242d3605893533923587ef9ab,release-1.20,91137a3394f0c3bafc715d257a5a3ed50eea8c9d,release-1.19
2546d604a687a7212be20ddf2edecd886155182b,release-1.20,ba410bc80eaf08098a917ada1be8c34609de307d,release-1.19
958ba8c5cfb4ab376c0e860fe5259ded5e8cba0e,release-1.20,5222a25540db7f6f6b7292ffea3086f4b7986e04,release-1.19
13fe0e641cdd3260fd52c1e7a15a8d595bb29624,master,958ba8c5cfb4ab376c0e860fe5259ded5e8cba0e,release-1.20
8dc212c32036c3a4afd3af2e50e95cb87c8cee23,master,2546d604a687a7212be20ddf2edecd886155182b,release-1.20
7f40ab97258bb323d11ef3c7efcf8761fd34bce0,master,504c866b347764b242d3605893533923587ef9ab,release-1.20
0c338ae6d21e6d3dc79764e7801cbb7adfe6a44f,master,d917462ee6492d83559d9e602a82230a850272a1,release-1.19
b48ccce1ce201ea76e11f089f43e8c115b96a992,master,3185c67e3882e72158f8e25ec8dc8820f115949a,release-1.20
9d21878befa72f3c2b8f005c137544e2467d5a5e,master,5dea94b95996cb3a95d35c2534b6d3c79534cb8f,release-1.20
9d21878befa72f3c2b8f005c137544e2467d5a5e,master,a79a649eaa6ad851078dd1f5630fc3009d0c1cc3,release-1.19
6d60f41a9b1369cd9af6fe0e0fb384f39b3166ff,master,3c968e9a84506c11a7ea6f7ef300c12a5dbbc6c0,release-1.19
ea74da01246d3f0d8c26520c990868fb1fda67aa,master,91f39586768b6626a1080daea85cd7f44ee08828,release-1.19
6d60f41a9b1369cd9af6fe0e0fb384f39b3166ff,master,1a5e4dca23d8cb6df50ebd85d8021c61a9fe3f32,release-1.20
ea74da01246d3f0d8c26520c990868fb1fda67aa,master,71fd38037cd2cd7d70d9f32214039bec3d6fae95,release-1.20
aaa8ad48f8e0fa7876d92068517d8a648133c91e,master,4e5ef6695ce226102552686adbf7d2b8dbc5c111,release-1.20
08b1859cf253ade90e5d6469adc6346b3be7e012,master,9e7794bf4b87c90ca0876df1229f8e9d2d200cf9,release-1.20
08b1859cf253ade90e5d6469adc6346b3be7e012,master,117a219d282caebdfe5817e6b356f8697c2154c9,release-1.19
050767cda9de4f41748b0169b28679a87b5c5a11,master,3693d07db27ba2977b575f9d1c3ecfda5f5613f1,release-1.19
7d6cdc5e5b97db6ac9daf8636fe1873765479246,master,febdaeeda5117f54dcb7fa8f8e9802eb9fd2898e,release-1.18
a41229b24d82e8c561350c42d8a98dfb865c3f69,master,257c526d6ae404f4598aeb2b9efa85674df2e6cd,release-1.17
a41229b24d82e8c561350c42d8a98dfb865c3f69,master,846ab49afd20ecf49fe76e18dd3e9b41143bf207,release-1.18
