unique_id,repo,key,scope,complexity,Backport Commit,date,message
hadoop_7683_branch-3.4,hadoop,7683_branch-3.4,S3,C5,e6cf6e6d10bb2e8e4963e9e78d9c3ade3f0bf161,2025-05-19 14:26:06+00:00,HADOOP-19554. LocalDirAllocator still doesn't always recover from directory deletion (#7683) (#7685)
hadoop_7662_branch-3.4,hadoop,7662_branch-3.4,S3,C3,8194b823e92445c962d89c1dcbb0837ff183a237,2025-05-01 10:52:58+00:00,HADOOP-19557. S3A: S3ABlockOutputStream to never log/reject hflush() calls (#7662)
hadoop_7128_branch-3.4,hadoop,7128_branch-3.4,S3,C3,c239f617a784857081b4687b205146ef9b92cf34,2025-04-21 14:32:47+00:00,HADOOP-19315. Upgrade Apache Avro to 1.11.4 (#7128) (#7615)
hadoop_7461_branch-3.4,hadoop,7461_branch-3.4,S3,C5,8d353d562764d68dda7d745658bf62637ed677fe,2025-04-14 04:41:11+00:00,HADOOP-19471. [ABFS] Support Fixed SAS Token at Container Level (#7461) (#7597)
hadoop_7214_branch-3.4,hadoop,7214_branch-3.4,S3,C5,382b347635bb63b3695ee046ce349d07f274056b,2025-02-20 18:37:58+00:00,HADOOP-19354. S3A: S3AInputStream to be created by factory under S3AStore (#7214)
hadoop_6884_branch-3.4,hadoop,6884_branch-3.4,S3,C3,e76699bca2d2359504cabe3d529b4cf9954406b2,2025-02-20 11:02:13+00:00,HADOOP-18708: S3A: Support S3 Client Side Encryption(CSE) (#6884)
hadoop_6314_branch-3.4,hadoop,6314_branch-3.4,S3,C5,07fdc1a48fa94c8f17da49809e9d8ada12b25f0c,2025-01-21 06:14:58+00:00,HADOOP-18325: ABFS: Add correlated metric support for ABFS operations (#6314) (#7303)
hadoop_7134_branch-3.3,hadoop,7134_branch-3.3,S3,C5,203b94414fdc67d1b77006dc05402d373c4f74d1,2024-11-25 19:02:59+00:00,HADOOP-19317. S3A: fs.s3a.connection.expect.continue controls 100 CONTINUE behavior (#7134) (#7178)
hadoop_7151_branch-3.4,hadoop,7151_branch-3.4,S3,C3,b5b5e3f9c229d5c367f759f12e08977b2c2882e1,2024-11-15 11:56:55+00:00,HADOOP-19330. S3A: Add LeakReporter; use in S3AInputStream (#7151) (#7160)
hadoop_6629_branch-3.4,hadoop,6629_branch-3.4,S3,C3,af0b841c85d1104c8829a374300c1c371e9abf85,2024-10-09 12:56:26+00:00,HADOOP-19107. Drop support for HBase v1 timeline service & upgrade HBase v2 (#6629). (#7017)
