unique_id,repo,key,scope,complexity,Backport Commit,date,message
logstash_17721_8.17,logstash,17721_8.17,S3,C1,1a876e2353fee2497265afce8b24f36fa5365f83,2025-06-23 13:16:36+00:00,Added support for GAUGE_LIST metric type (#17721) (#17723)
logstash_17351_8.17,logstash,17351_8.17,S3,C3,a20bf01f377f7798a00c1fd15b7058197904747e,2025-04-24 13:28:02+00:00,[8.17] (backport #17351) Improve the key validation in secret identifier. (#17585)
logstash_17522_8.x,logstash,17522_8.x,S3,C1,d0d3697f736074f981787a357d6aeb1d2f43dfcc,2025-04-09 17:00:16+00:00,setting: enforce non-nullable (restore 8.15.x behavior) (#17522) (#17526)
logstash_17373_8.x,logstash,17373_8.x,S3,C3,7d758394b58b1e71c10f6bba169093ab7aebe825,2025-03-27 15:59:01+00:00,[Backport 8.x] Limit memory consumption in test on overflow (#17373) (#17411)
logstash_17353_8.x,logstash,17353_8.x,S3,C1,a06b7a22ead49486fafbde9d658f7dba027e81fc,2025-03-19 16:39:15+00:00,Added test to verify the int overflow happen (#17353) (#17354)
logstash_16968_8.x,logstash,16968_8.x,S3,C1,40a7fdf60593aa550971f4d9e45e45a104b4b21a,2025-02-05 11:13:28+00:00,Backport PR #16968 to 8.x: Fix BufferedTokenizer to properly resume after a buffer full condition respecting the encoding of the input string (#16968) (#17019)
logstash_16959_8.17,logstash,16959_8.17,S3,C1,3897b718ffacfd5cf47ac290bb687340ee2e465a,2025-01-27 16:25:12+00:00,[Backport 8.x] Reimplement LogStash::String setting in Java (#16576) (#16959) (#16960)
logstash_16906_8.x,logstash,16906_8.x,S3,C1,24104833a4860a7a61fb472a1e5dca633c145094,2025-01-17 22:28:12+00:00,Add %{{TIME_NOW}} pattern for sprintf (#16906) (#16908)
logstash_16884_8.x,logstash,16884_8.x,S3,C1,6986f99ee7cc8819898b757a94cdc33fc5759607,2025-01-09 21:49:25+00:00,Test touchups (#16884) (#16885)
logstash_16854_8.x,logstash,16854_8.x,S3,C3,6b45a21c560293a1aa16f4a6b784f71d70bf00f7,2025-01-09 19:47:33+00:00,jackson stream read constraints: code-based defaults (#16854) (#16883)
logstash_16834_8.x,logstash,16834_8.x,S3,C3,267eacc3441c22d2b79dc351d1ce361f76eec698,2025-01-07 15:04:10+00:00,Respect environment variables in jvm.options (#16834) (#16866)
logstash_16832_8.x,logstash,16832_8.x,S3,C1,a3ab584257224faa235dcfd5882048b9abc233ec,2025-01-02 23:24:18+00:00,Apply Jackson stream read constraints defaults at runtime (#16832) (#16845)
logstash_16719_8.x,logstash,16719_8.x,S3,C3,5b3e62e52d5538d2ae310b1158909d8822d59192,2024-12-06 16:09:19+00:00,ensure jackson overrides are available to static initializers (#16719) (#16756)
logstash_16671_8.15,logstash,16671_8.15,S3,C1,5b314afdadd232434b34a0a7d34997425731c071,2024-11-18 17:58:01+00:00,PipelineBusV2 deadlock proofing (#16671) (#16681)
logstash_16482_7.17,logstash,16482_7.17,S3,C5,b4ca550dca1afb168fb22d10e303f9d971a21fae,2024-10-22 15:27:54+00:00,Backport #16482 to 7.17: Bugfix for BufferedTokenizer to completely consume lines in case of lines bigger then sizeLimit  (#16577)
logstash_16532_8.x,logstash,16532_8.x,S3,C1,26c2f612768f9d5a9cbc8512c5133c019a7f294c,2024-10-11 02:59:43+00:00,Flow worker utilization probe (#16532) (#16537)
logstash_16535_8.x,logstash,16535_8.x,S3,C1,986a253db83e6487110d6f6acbb35065f20717f2,2024-10-11 00:21:35+00:00,health: add `logstash.forceApiStatus: green` escape hatch (#16535) (#16536)
logstash_15971_8.14,logstash,15971_8.14,S3,C3,ff37802a77a905a63395afda2fea78198fd3a205,2024-06-25 16:46:55+00:00,Unicode pipeline and plugin ids (#15971) (#16257)
logstash_16176_8.14,logstash,16176_8.14,S3,C3,9cdb8b839f24b52a281f6b9011fc4dc1237f32eb,2024-05-22 17:55:53+00:00,PQ: avoid blocking writer when precisely full (#16176) (#16178)
logstash_15969_8.14,logstash,15969_8.14,S3,C1,ceddff3ab3092070ac3b6b8408ec456b4df1fbd0,2024-04-17 16:01:16+00:00,Provide opt-in flag to avoid fields name clash when log format is json (#15969) (#16094)
logstash_15997_8.12,logstash,15997_8.12,S3,C1,81b61b176dc6710fc43458a5a26b9f9116bb6c08,2024-03-12 09:22:22+00:00,ensure order of jvm options from file and env vars is respected (#15997) (#16001)
logstash_15925_8.12,logstash,15925_8.12,S3,C1,2a5c4c906f36765d22c0e077ee7a9952b63a29b8,2024-02-09 14:01:39+00:00,Backport PR #15925 to 8.12: Set Netty's maxOrder options to previous default (#15928)
logstash_15680_8.12,logstash,15680_8.12,S3,C1,dccb2cec806662f023d6d74f179859697c638552,2024-01-09 10:03:07+00:00,Separate scheduling of segments flushes from time (#15680) (#15697)
logstash_15737_8.12,logstash,15737_8.12,S3,C1,25a381b253b5d84c1b3569980f1e5d1950da828e,2024-01-03 18:36:05+00:00,Fix logstash-keystore multiple keys operations with command flags (#15737) (#15739)
