pair_id,original_commits,original_branch,Backport Commit,backport_branch
002,f0e7b42704e6b33958f242d91bd690d6ef7ada9c,origin/main,fd68ea6fcbf94fc1d38bfefd3692fe094652ab3d,origin/6.1.x
003,6f11711e2799a8df9ebd77e1f441ec4f237a4d10,origin/main,5b5e2b68767537f204d8392201497805ce6562d7,origin/6.1.x
005,7b08feeb6dc32890ae0e1374c6fbee0cae84d937,origin/main,6cc6ea1b2b250818e8c84bc7c679596b980abab2,origin/6.1.x
006,2862c8760145e63dcfe50fb67fe1e8ed871494b2,origin/main,b7654dd984dc5402ed040cda6f131983df5fbfec,origin/6.1.x
007,b6a5402d885c41c911b42d35b3cd9e1f13d63ebf,origin/main,c02d07fdef827890212ad9780a50898cc38e6deb,origin/6.1.x
008,6dd73ae3e4aec0450220f13e7a652334dae195e1,origin/main,b5c89c91a9aa3a8f6e2e58869da126c6c8e045bf,origin/6.1.x
009,5a0bd9e5d411d4837294f51660b9659c98b0864a,origin/main,ccf4b028d2900b19690220ff7e4724ef61d823c0,origin/6.1.x
012,174d0e4576b1bbd8c8bdb9cee3bf6cf844715e5d,origin/main,65913c36552dc8cebf2d8862fab8a40d04c1a716,origin/6.1.x
013,799566573ac3f2bf27ff326ac427c608d7a42620,origin/main,cf662368a581284e3e61daad038e51791f88ed14,origin/6.1.x
019,b5a86dec92eefb43795ac0e9f6802d589fff5956,origin/main,be7029c35dca4d70de15ea097649799aec19ac88,origin/6.0.x
019,b5a86dec92eefb43795ac0e9f6802d589fff5956,origin/main,be7029c35dca4d70de15ea097649799aec19ac88,origin/6.0.x_update-antora-ui-spring
021,ab236c7741dcf8ea9da738d1407a623bcd12bf0d,origin/main,a352d884c986a9ed3492ce186d954fc31dad15d4,origin/6.0.x
021,ab236c7741dcf8ea9da738d1407a623bcd12bf0d,origin/main,a352d884c986a9ed3492ce186d954fc31dad15d4,origin/6.0.x_update-antora-ui-spring
031,4a10bc3288f9a473076defbfc9b1cccedcb89da1,origin/main,cafb5cfbbe9e79b529dfe825590c17708f0dc764,origin/6.0.x
031,4a10bc3288f9a473076defbfc9b1cccedcb89da1,origin/main,cafb5cfbbe9e79b529dfe825590c17708f0dc764,origin/6.0.x_update-antora-ui-spring
032,f45e7b9b9bc06f0b11457d99cf9f3e2d15140de2,origin/main,1fb179b057ad1638efb7fde386fe1a168008a754,origin/6.0.x
032,f45e7b9b9bc06f0b11457d99cf9f3e2d15140de2,origin/main,1fb179b057ad1638efb7fde386fe1a168008a754,origin/6.0.x_update-antora-ui-spring
033,494ed4e852e11907107e978f56f24f0b0aef8680,origin/main,7678286fb3efa7bd7719ffe3055da9ed01e9f2f9,origin/5.3.x
034,494ed4e852e11907107e978f56f24f0b0aef8680,origin/main,402246df28048504a709b5c277dfd49116ff5df1,origin/6.0.x
034,494ed4e852e11907107e978f56f24f0b0aef8680,origin/main,402246df28048504a709b5c277dfd49116ff5df1,origin/6.0.x_update-antora-ui-spring
036,f6bc828569dd0c88c3cf1ca0d13bd5a07bbdf5ff,origin/main,ec2c9b5d0e210d62c7a8166a3af7dcd2adaa4115,origin/6.0.x
036,f6bc828569dd0c88c3cf1ca0d13bd5a07bbdf5ff,origin/main,ec2c9b5d0e210d62c7a8166a3af7dcd2adaa4115,origin/6.0.x_update-antora-ui-spring
037,dc1ef237806527daff36bedc81a5420f9fa83a7b,origin/main,7bf07ef393ea0e31c20e2fe19c680a18925e8aa8,origin/6.0.x
037,dc1ef237806527daff36bedc81a5420f9fa83a7b,origin/main,7bf07ef393ea0e31c20e2fe19c680a18925e8aa8,origin/6.0.x_update-antora-ui-spring
038,dc1ef237806527daff36bedc81a5420f9fa83a7b,origin/main,57646a092e7903f78203d332892f36e9c0d9734c,origin/5.3.x
043,b55a4d3908d5f08f237b9cb60a5e9dfe0480b3be,origin/main,125ebd029ce590aecfca2195498abb0829278378,origin/6.0.x
043,b55a4d3908d5f08f237b9cb60a5e9dfe0480b3be,origin/main,125ebd029ce590aecfca2195498abb0829278378,origin/6.0.x_update-antora-ui-spring
046,70d9f7c62cc5f698490a926100da7c11503f169e,origin/main,b484ab116f818129471d3bf19feea2a9df1f2c92,origin/6.0.x
046,70d9f7c62cc5f698490a926100da7c11503f169e,origin/main,b484ab116f818129471d3bf19feea2a9df1f2c92,origin/6.0.x_update-antora-ui-spring
047,e0c5068d0b7b30a1489f92f3aeeb1829b07e963e,origin/main,94bdd4380f8eb7c078067903e155cc051995d661,origin/6.0.x
047,e0c5068d0b7b30a1489f92f3aeeb1829b07e963e,origin/main,94bdd4380f8eb7c078067903e155cc051995d661,origin/6.0.x_update-antora-ui-spring
048,5c77c3739ea2eaf292639a702f721c0b5a73a277,origin/main,338922f03dc91042faa50ea7b9f0443f38e0ace5,origin/6.0.x
048,5c77c3739ea2eaf292639a702f721c0b5a73a277,origin/main,338922f03dc91042faa50ea7b9f0443f38e0ace5,origin/6.0.x_update-antora-ui-spring
049,598c972a78346dfeff459a5ffa510e90f4907ee2,origin/main,23eff5c650e8e8cc9d7c23a7282d255782a4998d,origin/6.0.x
049,598c972a78346dfeff459a5ffa510e90f4907ee2,origin/main,23eff5c650e8e8cc9d7c23a7282d255782a4998d,origin/6.0.x_update-antora-ui-spring
051,7c9307e9706535e82de231a095d94fbf855dcc23,origin/main,56c63c779f84e5e6e6aabafa7c1cdbb4d95ef45f,origin/6.0.x
