unique_id,repo,key,scope,complexity,Backport Commit,date,message
sql_4867_2.19-dev,sql,4867_2.19-dev,S3,C3,1c768a56b1bb26ef3dd8d1856d26549c5f2b1546,2025-11-27 07:31:07+00:00,Remove count aggregation for sort on aggregate measure (#4867) (#4875)
sql_4837_2.19-dev,sql,4837_2.19-dev,S3,C3,7795b4c13b4bbabf885ee4a0f66f2c450d7e105b,2025-11-26 09:48:36+00:00,"Update syntax: like(string, PATTERN[, case_sensitive]) (#4837) (#4864)"
sql_4784_2.19-dev,sql,4784_2.19-dev,S3,C5,49aee0dde66555b7cc1a9a24fb42dbbcb3a0931e,2025-11-26 09:04:24+00:00,Specify timestamp field with `timefield` in timechart command (#4784) (#4863)
sql_4843_2.19-dev,sql,4843_2.19-dev,S3,C5,93b5a74322899f7fcb7e6f7c6167f3eed34f7d27,2025-11-25 03:07:01+00:00,[Backport 2.19-dev]Remove redundant push-down-filters derived for bucket-non-null agg (#4843) (#4851)
sql_4795_2.19-dev,sql,4795_2.19-dev,S3,C5,20bb596ae9a802e944cf60bf41b0189ccb062cbe,2025-11-24 08:57:07+00:00,[Backport 2.19-dev] Perform RexNode expression standardization for script push down. (#4795) (#4849)
sql_4783_2.19-dev,sql,4783_2.19-dev,S3,C5,08c113ed31fe2e1f8e2a2372e85b7e6183db8e67,2025-11-21 03:08:44+00:00,fix conflict (#4840)
sql_4755_2.19-dev,sql,4755_2.19-dev,S3,C4,9bdd75c58304b39c0ae5a66985567058825748ad,2025-11-13 03:54:00+00:00,Merge the implementation of `timechart` and `chart` (#4755) (#4796)
sql_4765_2.19-dev,sql,4765_2.19-dev,S3,C3,1c634e3d4ef888fad3f9c89aa540083ff028c40e,2025-11-12 10:23:50+00:00,Add `regexp_replace()` function as alias of `replace()` (#4765) (#4791)
sql_4759_2.19-dev,sql,4759_2.19-dev,S3,C5,cc3a2b21899a76beab31057122b615dfca1fa3ae,2025-11-10 08:28:57+00:00,[Backport 2.19-dev] Support push down sort on aggregation  measure for more than one agg calls (#4759) (#4767)
sql_4579_2.19-dev,sql,4579_2.19-dev,S3,C5,8ead12a811f1a1f967b4251fc8a3b9a485eb2d77,2025-11-10 05:25:54+00:00,[Backport 2.19-dev] Support `chart` command in PPL (#4579) (#4756)
sql_4749_2.19-dev,sql,4749_2.19-dev,S3,C3,2b95c4164578c0d42e3b9e6b94b7fdb193867349,2025-11-06 10:05:07+00:00,Support script pushdown in sort-on-measure pushdown rewriting (#4749) (#4752)
sql_4698_2.19-dev,sql,4698_2.19-dev,S3,C5,8aa0ffc48dbf21e507b17a004f68da5f1f57e8b0,2025-11-05 02:29:41+00:00,Support wildcard for replace command (#4698) (#4741)
sql_4618_2.19-dev,sql,4618_2.19-dev,S3,C4,d20b4dbbda99da816b27c065a29158ea3c2d243f,2025-11-04 05:45:08+00:00,[Backport 2.19-dev] Support serializing external OpenSearch UDFs at pushdown time (#4618) (#4725)
sql_4714_2.19-dev,sql,4714_2.19-dev,S3,C3,d7603d305a62ac0cc970de221deff1306b30e1b2,2025-11-03 12:58:31+00:00,Bump Calcite to 1.41.0 (#4714) (#4720)
sql_4707_2.19-dev,sql,4707_2.19-dev,S3,C5,4ecc3cc56789f6b3cdfd461c0cd22bb642c5a4d6,2025-11-03 04:15:22+00:00,Pushdown the `top` `rare` commands to nested aggregation (#4707) (#4715)
sql_4690_2.19-dev,sql,4690_2.19-dev,S3,C3,ba5d3b1b9d5dc56ff337426d36af865c7d805fa4,2025-11-01 01:37:05+00:00,bin command error message enhancement (#4690) (#4712)
sql_4703_2.19-dev,sql,4703_2.19-dev,S3,C5,dc72a154dc1a77ff3017916f12adb47a5d0d06df,2025-10-31 09:38:47+00:00,[Backport 2.19-dev] Merge group fields for aggregate if having dependent group fields #4703 (#4711)
sql_4696_2.19-dev,sql,4696_2.19-dev,S3,C4,26701d2ce705cd092efd623c1fd0ab2e2e790f8e,2025-10-30 16:26:25+00:00,[Backport 2.19-dev] Support 'usenull' option in PPL `top` and `rare` commands (#4696) (#4702)
sql_4672_2.19-dev,sql,4672_2.19-dev,S3,C5,a531b6d52a2b3b08c46c6d59491b2edd92a325e3,2025-10-30 05:45:24+00:00,Support millisecond span (#4672) (#4700)
sql_4246_2.19-dev,sql,4246_2.19-dev,S3,C5,ec5d429b881b3de8722bc0cb793d03cef1d4bbd6,2025-10-29 09:11:19+00:00,Support ISO8601-formatted string in PPL (#4246) (#4685)
sql_4603_2.19-dev,sql,4603_2.19-dev,S3,C5,5888af3addf6ed227f0e047cb0ac347edb85c2d3,2025-10-27 02:33:38+00:00,[Backport 2.19-dev] Pushdown sort aggregate metrics (#4603) (#4658)
sql_4400_2.19-dev,sql,4400_2.19-dev,S3,C5,b116dd6badcd20d60bfafbb4601362729c4245b4,2025-10-24 08:45:45+00:00,[Backport 2.19-dev] Pushdown case function in aggregations as range queries (#4400) (#4630)
sql_4613_2.19-dev,sql,4613_2.19-dev,S3,C5,b19c967cea14cbc120cb8f808f3dc52c2474f94b,2025-10-23 03:07:42+00:00,Update GEOIP function to support IP types as input (#4613) (#4627)
sql_4614_2.19-dev,sql,4614_2.19-dev,S3,C3,0b446472de77ab33bb56f2fd0a5ba63e8bc78678,2025-10-22 21:49:56+00:00,[Backport 2.19-dev] Pushdown distinct count approx (#4614) (#4624)
sql_4451_2.19-dev,sql,4451_2.19-dev,S3,C5,2fa3845cdfe4876592c190e68d29bb3b88ca360c,2025-10-22 18:15:40+00:00,[Backport 2.19-dev] Add replace command with Calcite (#4451) (#4604)
sql_4615_2.19-dev,sql,4615_2.19-dev,S3,C5,dd749bd69f016195b7fc7ef81c5b2890af8a4f50,2025-10-22 09:03:30+00:00,[Backport 2.19-dev] Optimize pushdown script size with necessary fields per expression (#4615) (#4628)
sql_4245_2.19-dev,sql,4245_2.19-dev,S3,C5,02135beb3f1af6b1426f871439eb02bcdde0d4ab,2025-10-22 06:31:56+00:00,Support serializing & deserializing UDTs when pushing down scripts (#4245) (#4626)
sql_4583_2.19-dev,sql,4583_2.19-dev,S3,C3,1bf6deb3603c3d9c9df5e075587453a62d9b207a,2025-10-20 08:12:15+00:00,[Backport 2.19-dev] Add value type hint for derived aggregate group by field (#4583) (#4600)
sql_4572_2.19-dev,sql,4572_2.19-dev,S3,C3,e7caf5909820b732b09a2576963945ec86eb29ef,2025-10-20 08:11:37+00:00,[Backport 2.19-dev] Fix push down failure for min/max on derived field (#4572) (#4601)
sql_4544_2.19-dev,sql,4544_2.19-dev,S3,C3,6d8f78e81739c8a153ec8ae8859ae5dac93b52cb,2025-10-20 03:54:49+00:00,Make composite bucket size configurable (#4544) (#4593)
sql_4456_2.19-dev,sql,4456_2.19-dev,S3,C3,104f7f0ec0c80f9e5af1dac3c2806b965eadb906,2025-10-17 00:06:39+00:00,[Backport 2.19-dev] Support Regex for replace eval function (#4456) (#4592)
sql_4546_2.19-dev,sql,4546_2.19-dev,S3,C5,480d0bee45121c6564705dacfb06c2ef15686f1d,2025-10-16 02:31:42+00:00,Fix sort push down into agg after project already pushed (#4546) (#4574)
sql_4534_2.19-dev,sql,4534_2.19-dev,S3,C5,ed667d9aeadebb1b85ee1bb7cde5c987eed004a9,2025-10-15 09:21:28+00:00,[FollowUp] Set 0 and negative value of subsearch.maxout as unlimited (#4534) (#4568)
sql_4401_main,sql,4401_main,S3,C5,095e8cf6b916902e5e0c4a94e3f1eededc3629da,2025-10-10 14:49:12+00:00,Revert partial of #4401 (#4503)
sql_4224_2.19-dev,sql,4224_2.19-dev,S3,C5,5b751ec4cae5f14df9a923cd2dab5571f4ad78f5,2025-10-10 04:53:08+00:00,Support time modifiers in search command  (#4224) (#4473)
sql_4372_2.19-dev,sql,4372_2.19-dev,S3,C5,fbb9ec45b5cad7d66eaecbc1f52490053bd835fc,2025-10-09 04:55:13+00:00,Enable Calcite by default and implicit fallback the unsupported commands (#4372) (#4470)
sql_4393_2.19-dev,sql,4393_2.19-dev,S3,C5,79c6fa25356273de94999f4ac2816f86b2148c49,2025-10-09 03:26:23+00:00,[Backport 2.19-dev] Refactor name resolution in Calcite PPL (#4393) (#4465)
sql_4333_2.19-dev,sql,4333_2.19-dev,S3,C3,25033f6402f8275c5e6934e4db4673088c6ae7a2,2025-10-07 23:41:30+00:00,Add max/min eval functions (#4333) (#4425)
sql_4421_2.19-dev,sql,4421_2.19-dev,S3,C5,aca62eff4d68a3d279e6a94ac96309bb4b1564ba,2025-10-07 16:33:51+00:00,[Backport 2.19-dev] PPL `fillnull` command enhancement (#4421) (#4443)
sql_4332_2.19-dev,sql,4332_2.19-dev,S3,C5,8399fe31b083874b00603cb93562c6bc28575e07,2025-10-03 16:53:17+00:00,[Backport 2.19-dev] Support `multisearch` command in calcite (#4332) (#4431)
sql_4402_2.19-dev,sql,4402_2.19-dev,S3,C3,adf5df970f07296aa0ea51c555ea8ce2f638af12,2025-09-30 16:13:49+00:00,Fix numbered token bug and make it optional output in patterns command (#4402) (#4414)
sql_4155_2.19-dev,sql,4155_2.19-dev,S3,C5,3be90bf10718f7d3117d473cbc651c5240982c78,2025-09-30 07:29:55+00:00,[Backport 2.19-dev] [Feature][Enhancement] Enhance patterns command with additional sample_logs output field (#4155) (#4412)
sql_4381_2.19-dev,sql,4381_2.19-dev,S3,C3,028de0b2edf8a11ba2b06e7daa22ea19756f9fbf,2025-09-30 04:47:20+00:00,[Backport 2.19-dev] Fix parse related functions return behavior in case of NULL input (#4381) (#4411)
sql_4360_2.19-dev,sql,4360_2.19-dev,S3,C5,901535afa4a77ea3be36f137c427600cb54017a9,2025-09-29 16:34:03+00:00,[Backport 2.19-dev] Fix `ClassCastException` for value-storing aggregates on nested PPL fields (#4360) (#4395)
sql_4353_2.19-dev,sql,4353_2.19-dev,S3,C5,5b953a65c87d9352e37edc0e1ef2a95183cf565e,2025-09-28 07:11:41+00:00,[Backport 2.19-dev] Enhance the cost computing mechanism and push down context #4353 (#4399)
sql_4329_2.19-dev,sql,4329_2.19-dev,S3,C5,8f3245cf7e671ec789293dc59c5df53d4010b5cb,2025-09-28 03:31:12+00:00,[Backport 2.19-dev] Push down stats with bins on time field into auto_date_histogram (#4329) (#4398)
sql_4388_2.19-dev,sql,4388_2.19-dev,S3,C5,2a6a12b010fbb076e77ed360f45bf88cbbeab2bf,2025-09-26 07:50:01+00:00,Fix bug of missed analyzed node when pushdown filter for Search call (#4388) (#4389)
sql_4327_2.19-dev,sql,4327_2.19-dev,S3,C5,ca036e4a36257f829ab77aea549de545fb3bfd28,2025-09-24 07:02:17+00:00,[Backport 2.19-dev] Date/Time based Span aggregation should always not present null bucket (#4327) (#4336)
sql_4325_2.19-dev,sql,4325_2.19-dev,S3,C3,ddfa7584eef1da89928ae00b90751fb5ae2df90b,2025-09-18 02:29:13+00:00,[BackportPR 2.19-dev] Fix geopoint issue in complex data types (#4325) (#4326)
sql_4276_2.19-dev,sql,4276_2.19-dev,S3,C3,7d0c1a3cb6b9b20a5bc3964441c9b599317a540e,2025-09-17 03:30:49+00:00,Add  `values` stats function with UDAF (#4276) (#4313)
sql_4019_2.19-dev,sql,4019_2.19-dev,S3,C5,f3243c823cde59b64adcc4ed98d0bd948cfecb9a,2025-09-16 21:44:59+00:00,[Backport 2.19-dev] Add wildcard support for rename command (#4019) (#4250)
sql_4120_2.19-dev,sql,4120_2.19-dev,S3,C3,e73bc0072c9fbeb064f0b4474c699b4f69451927,2025-09-16 16:58:27+00:00,Starter implementation for `spath` command (#4120) (#4158)
sql_4212_2.19-dev,sql,4212_2.19-dev,S3,C5,726b53adb8458c597c5f76d3aff87e017da4857e,2025-09-15 22:11:06+00:00,[Backport 2.19-dev] Add earliest/latest aggregate function for eventstats PPL command #4212 (#4284)
