commit,build_after,test_after,build_before,test_before,regressions,fixes,new_passes
7c1b3f1d3a2ee924440c6c88727d5a5ac6eb18e4,Success,Success,Skipped,Skipped (Only New Tests),0,0,1
3ba7badda390977805600942d71016b5af12751b,Success,Success,Success,Success,0,0,1
06c1a6a31eaa2339a8507658ea1baf378da48e4a,Success,Success,Success,Success,0,0,7
f27a1dc651d0ee607337ac6f0483643b32ace66a,Success,Success,Skipped,Skipped (Only New Tests),0,0,4
4a8008aebb7b3f324325feabd1b5a11a07e76022,Success,Success,Success,Success,0,0,12
9b192bd5a2b1911472d2f0328e87adfaba75da3e,Success,Success,Skipped,Skipped (Only New Tests),0,0,3
f4ad5d001b49cead0c9d4e93b36df123946ae632,Success,Success,Success,Success,0,0,0
0ae9988796de026793008ca9368a4c22d75747f2,Success,Success,Skipped,Skipped (Only New Tests),0,0,1
11727af2a6c464b57047b1a97ff5053daa6fb0dd,Success,Success,Success,Success,0,0,4
305abae8b198cd10f8f718d6da053348e3e5ac89,Success,Success,Skipped,Skipped (Only New Tests),0,0,2
d6858771d1acb63c5fb39a3a6bcd62b03461dc15,Success,Success,Success,Success,0,0,1
e1dc60f21d7d9ec502c1f256ac27b5e6abd92792,Success,Success,Success,Success,0,0,2
2b9ee7fc71432e5be9b8d6b738cc55886cb9b3d4,Success,Success,Skipped,Skipped (Only New Tests),0,0,4
f283849821d0ffde5dfe6a64a7400f0191ef5989,Success,Success,Success,Success,0,0,2
8cfaaac2c05ad10b2a520e6991e9178484406b61,Success,Success,Skipped,Skipped (Only New Tests),0,0,2
de0569bb49f87b916e3f793cda13826eb041e750,Success,Success,Success,Success,0,0,0
