commit,build_after,test_after,build_before,test_before,regressions,fixes,new_passes
1a876e2353fee2497265afce8b24f36fa5365f83,Success,Success,Success,Success,0,0,0
a20bf01f377f7798a00c1fd15b7058197904747e,Success,Success,Success,Success,0,0,0
d0d3697f736074f981787a357d6aeb1d2f43dfcc,Success,Success,Success,Success,0,0,0
7d758394b58b1e71c10f6bba169093ab7aebe825,Success,Success,Success,Fail,0,0,0
a06b7a22ead49486fafbde9d658f7dba027e81fc,Success,Fail,Success,Success,0,0,0
40a7fdf60593aa550971f4d9e45e45a104b4b21a,Success,Fail,Skipped,Skipped (Only New Tests),0,0,984
24104833a4860a7a61fb472a1e5dca633c145094,Success,Fail,Success,Fail,0,0,11
6986f99ee7cc8819898b757a94cdc33fc5759607,Success,Fail,Success,Fail,0,0,3
6b45a21c560293a1aa16f4a6b784f71d70bf00f7,Success,Fail,Success,Fail,0,0,2
267eacc3441c22d2b79dc351d1ce361f76eec698,Success,Fail,Success,Fail,0,0,0
a3ab584257224faa235dcfd5882048b9abc233ec,Success,Fail,Success,Fail,0,0,2
5b3e62e52d5538d2ae310b1158909d8822d59192,Success,Fail,Success,Fail,0,0,0
5b314afdadd232434b34a0a7d34997425731c071,Success,Fail,Success,Fail,0,0,0
b4ca550dca1afb168fb22d10e303f9d971a21fae,Success,Fail,Skipped,Skipped (Only New Tests),0,0,923
26c2f612768f9d5a9cbc8512c5133c019a7f294c,Success,Fail,Skipped,Skipped (Only New Tests),0,0,923
986a253db83e6487110d6f6acbb35065f20717f2,Success,Fail,Skipped,Skipped (Only New Tests),0,0,923
9cdb8b839f24b52a281f6b9011fc4dc1237f32eb,Success,Fail,Success,Fail,0,0,0
ceddff3ab3092070ac3b6b8408ec456b4df1fbd0,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
81b61b176dc6710fc43458a5a26b9f9116bb6c08,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
2a5c4c906f36765d22c0e077ee7a9952b63a29b8,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
dccb2cec806662f023d6d74f179859697c638552,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
25a381b253b5d84c1b3569980f1e5d1950da828e,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
