commit,build_after,test_after,build_before,test_before,regressions,fixes,new_passes
8aa0ffc48dbf21e507b17a004f68da5f1f57e8b0,Success,Success,Success,Success,0,0,7
d20b4dbbda99da816b27c065a29158ea3c2d243f,Success,Success,Success,Success,0,0,1
ba5d3b1b9d5dc56ff337426d36af865c7d805fa4,Success,Success,Success,Success,0,0,6
ec5d429b881b3de8722bc0cb793d03cef1d4bbd6,Success,Success,Success,Success,0,0,1
b19c967cea14cbc120cb8f808f3dc52c2474f94b,Success,Success,Success,Success,0,0,0
0b446472de77ab33bb56f2fd0a5ba63e8bc78678,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
e7caf5909820b732b09a2576963945ec86eb29ef,Success,Success,Success,Success,0,0,1
104f7f0ec0c80f9e5af1dac3c2806b965eadb906,Success,Success,Success,Success,0,0,6
480d0bee45121c6564705dacfb06c2ef15686f1d,Success,Success,Success,Success,0,0,1
095e8cf6b916902e5e0c4a94e3f1eededc3629da,Success,Skipped (No Targets),Success,Skipped (No Targets),0,0,0
79c6fa25356273de94999f4ac2816f86b2148c49,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
3be90bf10718f7d3117d473cbc651c5240982c78,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
901535afa4a77ea3be36f137c427600cb54017a9,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
8f3245cf7e671ec789293dc59c5df53d4010b5cb,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
2a6a12b010fbb076e77ed360f45bf88cbbeab2bf,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
ddfa7584eef1da89928ae00b90751fb5ae2df90b,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
784c303c8e1da4d9e495dd76625ecd6aaaef372b,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
9de859315defcd7229c6444b63e3428032e4be6a,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
0591243c5ff276dd2bbd2b71c57b676e2b697ca3,Success,Success,Success,Success,0,0,4
f10ffd50a08f0b167b4d684798456bf7d0b419d9,Success,Success,Success,Success,0,0,4
ab211df6d617d501d5d1fae90a232bc689de169f,Success,Success,Success,Success,0,0,2
54f12871626ed311ce201dd13d0ebc9c8a262a2b,Success,Skipped (No Targets),Success,Skipped (No Targets),0,0,0
d682985dd17eb32347308118062e4b227e431bd6,Success,Success,Success,Success,0,0,1
4bd23cfafcc13d92a798489658cd6319f4dc776e,Success,Success,Success,Success,0,0,1
b98c7f6c656b8cc96197e5065f134bb4cb055c4f,Success,Success,Success,Success,0,0,0
c2a2844f6a4baa54d89482fd725ca83e4e40202a,Success,Success,Success,Success,0,0,0
fe5eb74fccc74ccf20bfd3507eb13ac8fa28c632,Success,Success,Success,Success,0,0,6
52e5b9680551c1d09a17260b5283ed4bc8eba92f,Success,Success,Success,Success,0,0,3
8647ec0f6e263fc607e2c9ed1965fcd4bbf9c3a9,Success,Success,Success,Success,0,0,3
d451079ecd9e7206ed9effd21e0810c853ea50e5,Success,Skipped (No Targets),Success,Skipped (No Targets),0,0,0
95a16436a43ae474ca06aa1011081e3f3fc62ee9,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
1be7b30b2a820f59ce690937ca4def596345b846,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
81e835bc85b4f7c31dd2cb1aaaa955527b5be1cd,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
d50a141d62589e2ac772903b2e8b792093dcda07,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
f1523d51245f391787a72bc765974618a8efd18e,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
14154a9b33da75ce7034078f3e38a94f6734b5f1,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
4d540788dd70850a08427aa0c651e5021e0eec78,Fail,Skipped,Skipped,Skipped (Only New Tests),0,0,0
