commit,validation_status,validation_reason,build_after,test_after,build_before,test_before,error_type,regressions,fixes,new_passes
93c4dc1d275e2ed95751f4d041608d85e3c64178,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
6351bc05aafc8ba480e9f85ab702e67e48416953,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
7b6ef4d32274d94c9ebbc9b5bd2eedd78003f0cc,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
26e5a53906ba04721b9f5435632d3c8b4a6a8ece,VALID_BACKPORT,build_fixed,Success,Success,Fail,Skipped,,0,0,0
c2068878c920af06a23e8079be41d20ceb59e2f1,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
c7db98e15e4c85c37610e768b635676a3c0d755a,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
ca1672bc3a8e831365d07e87dba2fa2625741819,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
5b5c4f0ca1738c0a2e77f030faa5524ae0c3a2c0,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
5e72e7dbb5badb9dcede2202499951e2d6b12f82,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
ab92eddb7cbdf40393ff9171649a09c3647eae48,BUILD_FAILED,reused_build_failure,Fail,Skipped,Skipped,Skipped (Only New Tests),,0,0,0
